word
happy
sad
brave
gentle
wonderful
kind
strong
clever
friendly
excited
angry
calm
funny
shy
loud
quiet
fast
slow
big
small
hot
cold
wet
dry
new
old
clean
dirty
easy
hard
near
far
high
low
full
empty
open
closed
light
dark
soft
hard
smooth
rough
sharp
dull
sweet
sour
bitter
salty
fresh
stale
rich
poor
young
old
tall
short
fat
thin
wide
narrow
deep
shallow
long
short
thick
thin
heavy
light
warm
cool
safe
dangerous
healthy
sick
the
and
you
it
in
said
for
up
look
is
go
we
little
down
can
see
not
one
my
me
big
come
blue
red
where
jump
away
here
help
make
yellow
two
play
run
find
three
funny
he
was
she
all
they
are
am
at
ate
be
black
brown
but
came
did
do
eat
four
get
good
have
he
here
into
like
must
new
no
now
on
our
out
please
pretty
ran
ride
saw
say
she
so
soon
that
there
they
this
too
under
want
was
well
went
what
white
who
will
with
yes
you
zoo
family
mother
father
brother
sister
grandmother
grandfather
aunt
uncle
cousin
home
house
room
kitchen
bedroom
bathroom
living room
garden
school
teacher
student
classroom
desk
chair
book
pencil
eraser
ruler
bag
friend
playground
library
canteen
animals
dog
cat
bird
fish
rabbit
turtle
elephant
lion
tiger
bear
monkey
snake
frog
butterfly
bee
cow
horse
sheep
pig
duck
chicken
mouse
food
apple
banana
orange
grape
watermelon
bread
rice
noodle
soup
milk
juice
cake
cookie
pizza
sandwich
vegetable
carrot
tomato
potato
lettuce
onion
fruit
meat
fish
egg
cheese
body
head
hair
eye
ear
nose
mouth
tooth
tongue
neck
arm
hand
finger
leg
foot
toe
heart
stomach
colors
green
purple
pink
orange
gray
silver
gold
numbers
zero
one
two
three
four
five
six
seven
eight
nine
ten
eleven
twelve
thirteen
fourteen
fifteen
sixteen
seventeen
eighteen
nineteen
twenty
shapes
circle
square
triangle
rectangle
diamond
star
heart
oval
transport
car
bus
train
plane
boat
ship
bicycle
motorcycle
truck
weather
sun
rain
cloud
wind
snow
storm
hot
cold
warm
cool
nature
tree
flower
grass
leaf
root
branch
river
lake
mountain
hill
sea
ocean
beach
sand
rock
stone
sky
moon
star
sun
earth
environment
clean
dirty
pollute
recycle
save
protect
community
neighbour
police
doctor
nurse
firefighter
postman
shop
market
park
hospital
fire station
post office
bank
restaurant
mall
city
town
village
country
singapore
asia
world
